place,lng,lat
The American Kennel Club Museum of the Dog,-73.97810896578157,40.75109000352728
Gagosian Gallery,-74.00596303586194,40.74941999313859
PlayStation Theater,-73.9864422,40.7576451
Tudor City,-73.9713889,40.7486231
Titanic Memorial Park,-74.00404995028119,40.70744002736521
Tiffany Street Clock at 5th Ave.,-73.9894960327025,40.74196998995819
Hello Panda Festival,-73.84571496110675,40.75590000057403
Mother African Methodist Episcopal Zion Church,-73.94173200891434,40.81605000459405
Church of St. Paul the Apostle,-73.98518463075379,40.7698904
Schomburg Center for Research in Black Culture,-73.94098739016528,40.8146476
The Municipal Building,-74.00403989199737,40.713120024052046
New York City Vietnam Veterans Memorial Plaza,-74.00975903217204,40.703380001105074
Barney's,-73.97116296643911,40.76474299224316
The Armory (Track),-73.94199201555084,40.842420016807694
New York Transit Museum,-73.97792999999996,40.75229000000007
Swedish Cottage Marionette Theatre,-73.98262999999997,40.77568000000008
Helmsley Building,-73.97610284092127,40.75439335
Tompkins Square Park,-73.97945499999997,40.72748000000007
Antioch Baptist Church,-73.95666998529651,40.814099996729794
Church of Saint Vincent Ferrer,-73.96513403112309,40.76609998045774
Joey Ramone Place,-73.99204991478102,40.72563005645091
The Shed,-74.00279786168552,40.7533193
Modell's,-74.006028,40.7142106
New Victory Theater,-73.98762999999997,40.75649000000004
Westside Theatre,-73.9926202,40.759448
Elizabeth Street Garden,-73.99418056036245,40.72266704109538
United Palace,-73.9381268,40.8465626
Greenflea Flea Market,-73.9753609588255,40.78242000694499
The Players Theatre,-74.00052999999997,40.73010000000005
59E59 Theaters,-73.97046098204817,40.76328998932769
Victorian Gardens,-73.97617995458477,40.76565003989526
Japan Society,-73.96833999999996,40.75246000000004
East River Waterfront Esplanade,-73.94411992930999,40.78293004575323
Dave's New york,-73.99568999999997,40.73896000000008
David Zwirner Gallery,-74.00703999999996,40.74580000000003
St. Peter's Church,-74.00946398918026,40.71250001467416
Pier 45,-74.00639990065545,40.7330600268827
Riverside Drive,-73.94267538434977,40.850918765640024
Barrow Street Theatre,-74.00314999999995,40.73242000000005
William Tecumseh Sherman Monument,-73.9022798994101,40.75259002891954
Laura Pels Theater,-73.98296401555788,40.75780998485061
Holland Tunnel,-74.01922544426722,40.72707469915868
The Church of St. Ignatius Loyola,-73.95875800119656,40.778611018684984
Malcolm Shabazz Harlem Market,-73.9488612,40.801468
Fifth Avenue Presbyterian Church,-73.97518892429245,40.762029850000005
New York City Wine & Food Festival,-73.992129039947,40.73950001073047
The Pond,-73.98192994016313,40.670450060009244
St. Nicholas Park,-73.94607995354853,40.821260027969856
Fulton Fish Market,-74.00141359383711,40.70641655
Hispanic Society of America,-73.94650999999999,40.83352000000008
Museum of American Finance,-74.0091958,40.7063713
Bowery,-74.00047800224297,40.72507001959025
Mt Olivet Baptist Church,-73.95044790227861,40.812139644663944
The Jefferson Market Garden,-73.99870992358714,40.73479005169813
Society of Illustrators,-73.96690495962599,40.76471101528253
Frank Gehry Building,-74.00547001231716,40.7111599998135
Alphabet City,-74.00713999999994,40.71455000000003
Conservatory Water,-73.96607992889643,40.77377005050599
American Merchant Marines Memorial,-74.01432684781629,40.70286383762584
Jefferson Market Library,-73.9991919927467,40.73458795
Statue of Confucius,-73.9969792147815,40.714728618605285
CBS Building,-73.97878120222677,40.761254050000005
Tom's Diner,-73.96543703692286,40.80543998200699
Canal Street Market,-74.0008621,40.7189869
The National Arts Club,-73.98667999999998,40.73775000000006
Queen of Hearts,-73.98625286498999,40.694965014852514
Asia Society and Museum,-73.9644039673565,40.769880009242286
GemsNY,-73.97980303223235,40.756933992149754
Ninth Avenue International Food Festival,-73.99831999999998,40.759150000000034
City Hall Park Visitor Information Center,-74.11695988574856,40.63336005463887
Samsung 837,-74.00748401601216,40.74068998952427
Showfields,-73.99435099865978,40.72662000112544
Library Way,-73.97982201581183,40.75216218470192
Mount Neboh Baptist Church,-73.95312896648102,40.801939992607544
Metropolitan Transportation Authority,-73.97724987363358,40.752701200000004
Orchard Street,-73.9907408,40.717133
Ladies Pavilion,-73.88404993055578,40.7227700253589
Orpheum Theatre,-73.98748234728669,40.728186449999995
American Express 11 Tears Memorial,-74.0146939614856,40.71391001842633
Foley Square,-74.00349003914906,40.716053019611195
Christopher Park,-74.00542999999993,40.733880000000056
Rose Theater,-73.98298612427507,40.77208804032476
Pier 66 Maritime,-73.99054950181429,40.744368986321334
The Museum of Interesting Things,-73.99304995964889,40.73044701047729
Minetta Lane Theatre,-74.00115999999997,40.730380000000025
Urbanspace - Broadway Bites,-73.9166699507817,40.77016004862736
The Governors Ball Music Festival,-73.92345200009805,40.796029996497566
Electric Zoo,-73.92462999999998,40.79134000000005
Hester Street Fair,-73.98974992054968,40.71555002160164
John V. Lindsay East River Park,-73.98891499999996,40.766755000000046
Sloomoo Institute,-74.00039401557315,40.72138001244579
Joan of Arc Memorial,-73.9762998996192,40.79403003249038
Fotografiska New York,-73.986775,40.7392696
American Standard Building,-73.9839270524364,40.752833949999996
Church of the Transfiguration,-73.98618999999997,40.74527000000006
The Immigrants,-73.98819999999995,40.76449000000008
St. Vartan Armenian Cathedral,-73.97534603903785,40.74519999825637
Museum of Comic and Cartoon Art MOCCA NYC,-73.96690495962599,40.76471101528253
Lever House,-73.97268796328697,40.759577300000004
Saint Paul Chapel,-73.96059477891625,40.80757622441412
Mmuseumm,-74.00279081609477,40.71739731580155
Graffiti Hall of Fame,-73.94909701959654,40.79389998726262
George M. Cohan Statue,-73.9849921419383,40.75863840827334
El Museo del Barrio,-73.95136999999994,40.79310000000004
Taglialatella Galleries,-74.00405999999998,40.74815000000007
Shrine of St. Elizabeth Ann Bayley Seton,-74.01360999999997,40.70247000000006
Tudor City Greens,-73.97045000175501,40.74884998181315
Leslie-Lohman Museum of Gay and Lesbian Art,-74.00312701892253,40.72166998438615
Korean War Veterans Memorial,-73.84196992676797,40.70185853275683
World Trade Center Transportation Hub,-74.00554000120869,40.714859981422705
